,login,metric_1,metric_2
0,16341886,32.0,113.0
1,14048482,5.0,0.0
2,20940019,,319.0
3,15580519,8.0,1.0
4,18007988,9.0,25.0
5,16668054,6.0,101.0
6,13558609,3.0,1922.0
7,12067608,,1784.0
8,15170834,1.0,146.0
9,15107092,10.0,635.0
10,14958660,114.0,608.0
11,15473639,13.0,119.0
12,20458869,119.0,245.0
13,15273193,3.0,403.0
14,22894757,28.0,1377.0
15,16537509,6.0,381.0
16,22465973,12.0,985.0
17,20984105,,46.0
18,19703319,,0.0
19,22855768,4.0,4232.0
20,16082189,1.0,1.0
21,18672718,10.0,54.0
22,20971742,25.0,73.0
23,22696546,19.0,4.0
24,22837778,437.0,0.0
25,23079840,14.0,175.0
26,21139617,4.0,3591.0
27,15610658,,1243.0
28,15844810,,812.0
29,22587650,29.0,14892.0
30,22418072,41.0,590.0
31,22578903,34.0,18410.0
32,22959470,50.0,1384.0
33,19377815,12.0,35.0
34,20852969,11.0,20.0
35,22935878,1.0,19.0
36,23167655,5.0,394.0
37,19296714,12.0,1951.0
38,20781124,280.0,7577.0
39,23121797,145.0,475.0
40,22074800,12.0,989.0
41,20322511,5.0,2.0
42,22606029,1.0,104.0
43,21223673,22.0,1592.0
44,23129051,13.0,1322.0
45,22197630,25.0,1071.0
46,22894864,18.0,1260.0
47,22246161,21.0,1112.0
48,22245848,21.0,1230.0
49,22529738,26.0,1781.0
50,22389224,23.0,851.0
51,22246150,32.0,1081.0
52,22246145,24.0,1565.0
53,22326851,19.0,1280.0
54,22852526,13.0,1139.0
55,22888209,21.0,1633.0
56,22938617,24.0,1362.0
57,22518394,22.0,1260.0
58,22246111,24.0,1407.0
59,22583119,19.0,1684.0
60,23209629,147.0,160.0
61,22460156,19.0,258.0
62,22221563,41.0,12.0
63,21983147,5.0,1.0
64,22571075,368.0,1125514.0
65,22895205,30.0,1253.0
66,22464226,24.0,1039.0
67,22348830,110.0,9.0
68,22894965,19.0,1115.0
69,16087160,18.0,862.0
70,18673759,2.0,520.0
71,22101234,81.0,1.0
72,23052864,11.0,2323.0
73,20950164,2.0,246.0
74,19080569,5.0,721.0
75,21483352,2.0,30.0
76,22561083,44.0,7402.0
77,11278370,36.0,0.0
78,13174526,28.0,1106.0
79,15992521,16.0,284.0
80,13174584,28.0,1143.0
81,22554523,16.0,1255.0
82,20329952,15.0,999.0
83,22354961,12.0,1276.0
84,22057916,30.0,1634.0
85,22077033,22.0,855.0
86,22528724,15.0,1417.0
87,22973082,21.0,1583.0
88,22545770,32.0,782.0
89,22872638,18.0,1339.0
90,22546245,21.0,1266.0
91,22806670,16.0,934.0
92,22352813,22.0,1470.0
93,22473652,11.0,1250.0
94,22895118,18.0,1131.0
95,22074820,8.0,520.0
96,21892806,27.0,18.0
97,22414314,16.0,1168.0
98,22530945,28.0,1679.0
99,21753731,11.0,94.0
100,22414321,7.0,733.0
101,22782820,6.0,107.0
102,22900703,28.0,227.0
103,22900708,24.0,168.0
104,21753733,2.0,77.0
105,22900691,22.0,161.0
106,21753732,10.0,61.0
107,22911261,4.0,113.0
108,16111015,4.0,103.0
109,15325961,4.0,108.0
110,19889892,4.0,111.0
111,19285368,4.0,100.0
112,22289405,4.0,107.0
113,20932428,4.0,104.0
114,16601014,4.0,99.0
115,16623406,4.0,102.0
116,16110743,4.0,107.0
117,18666009,4.0,106.0
118,15744537,4.0,106.0
119,20377733,4.0,107.0
120,20219786,10.0,250.0
121,20092136,15.0,250.0
122,20219982,10.0,249.0
123,20505973,4.0,100.0
124,12142323,6.0,1753.0
125,20912929,6.0,105.0
126,21929150,127.0,580428.0
127,21420496,127.0,533061.0
128,22595940,123.0,564368.0
129,22198100,125.0,573286.0
130,22891700,6.0,483.0
131,22333841,20.0,146.0
132,21201186,3.0,6.0
133,23216358,11.0,79.0
134,22780279,38.0,135.0
135,22242721,13.0,1377.0
136,22086826,29.0,1532.0
137,21719046,51.0,23.0
138,22339012,16.0,184.0
139,23229223,,0.0
140,23085785,414.0,0.0
141,22075313,13.0,967.0
142,22644113,107.0,7.0
143,12246132,,160.0
144,23241237,,4027.0
145,18290998,,8094.0
146,15441406,20.0,3.0
147,23023397,75.0,182.0
148,22617710,17.0,1089.0
149,20224906,27.0,30.0
150,20268693,,0.0
151,19365158,,45.0
